county_name,median_household_income,black_population,asian_population,hispanic_population,total_population,state,county,FIPS,pct_black,pct_hispanic,pct_asian
"Autauga County, Alabama",72481.0,12244.0,680.0,2289.0,59947.0,01,001,01001,20.42,3.82,1.13
"Baldwin County, Alabama",78775.0,19909.0,2552.0,14276.0,246989.0,01,003,01003,8.06,5.78,1.03
"Barbour County, Alabama",46042.0,11423.0,145.0,1534.0,24643.0,01,005,01005,46.35,6.22,0.59
"Bibb County, Alabama",52541.0,4378.0,99.0,766.0,22130.0,01,007,01007,19.78,3.46,0.45
"Blount County, Alabama",64190.0,716.0,69.0,6130.0,59518.0,01,009,01009,1.2,10.3,0.12
"Bullock County, Alabama",31310.0,6986.0,42.0,602.0,10058.0,01,011,01011,69.46,5.99,0.42
"Butler County, Alabama",44755.0,8327.0,248.0,316.0,18630.0,01,013,01013,44.7,1.7,1.33
"Calhoun County, Alabama",55029.0,25450.0,986.0,5388.0,116090.0,01,015,01015,21.92,4.64,0.85
"Chambers County, Alabama",49656.0,13131.0,81.0,1372.0,34192.0,01,017,01017,38.4,4.01,0.24
"Cherokee County, Alabama",53863.0,970.0,60.0,469.0,25443.0,01,019,01019,3.81,1.84,0.24
"Chilton County, Alabama",65603.0,4354.0,200.0,4707.0,45992.0,01,021,01021,9.47,10.23,0.43
"Choctaw County, Alabama",47813.0,4649.0,3.0,144.0,12380.0,01,023,01023,37.55,1.16,0.02
"Clarke County, Alabama",49249.0,10069.0,119.0,275.0,22543.0,01,025,01025,44.67,1.22,0.53
"Clay County, Alabama",55250.0,1818.0,54.0,465.0,14192.0,01,027,01027,12.81,3.28,0.38
"Cleburne County, Alabama",55345.0,562.0,18.0,325.0,15426.0,01,029,01029,3.64,2.11,0.12
"Coffee County, Alabama",68353.0,8909.0,631.0,5396.0,54920.0,01,031,01031,16.22,9.83,1.15
"Colbert County, Alabama",60628.0,8991.0,280.0,2049.0,58022.0,01,033,01033,15.5,3.53,0.48
"Conecuh County, Alabama",41327.0,5101.0,9.0,117.0,11275.0,01,035,01035,45.24,1.04,0.08
