NPI,zip
1750384806,79415
1205839255,11021
1508869553,08094
1316940364,45701
1285637223,08094
1750384780,37055
1740283779,06105
1710980743,89074
1073516001,37055
1053314104,38134
1134122286,19046
1316940463,06108
1548263593,76201
1609879659,70420
1295738235,43449
1821091869,36303
1497758445,37055
1225031255,13601
1689677619,37055
1194728121,32940
1053314088,70115
1306849328,89103
1750384772,32940
1659374676,64804
1447253463,32940
1992708911,37075
1063415081,
1447253489,18964
1982607925,45701
1700889748,98686
1972506913,78404
1225031420,44811
1689677882,29657
1689677874,43130
1205839495,12401
1023011210,75244
1275536468,37076
1184627374,32828
1801899091,33606
1528061702,44131
1164425344,45069
1609879881,30501
1336142512,75801
1316940596,42104
1043213226,17033
1952304131,43616
1609879618,33326
1518960525,46526
1952304966,37055
1861495871,22306
1629071899,03101
1780687954,30458
1952304123,47882
1396748554,79424
1457354581,19053
1366445496,88310
1043213176,30501
1952304081,88310
1770586802,94591
1124021241,12144
1477556496,70115
1386647303,38358
1457354474,34690
1568465797,82501
1285637413,28655
1710980941,44601
1972506194,36726
1053314278,44824
1770586984,43078
1689677890,43616
1720081938,77090
1811990013,06360
1073516076,90623
1548263544,19047
1710980719,17331
1710980701,73701
1013910298,43110
1831192012,45069
1659374833,28115
1801899083,43616
1154324325,37075
1891798047,37363
1144223397,90301
1043213291,32960
1770586927,14534
1316940554,30501
1689677825,29621
1831192921,66762
1487658712,77833
1013911346,41701
1033112255,33637
1851394076,44601
1285637405,02571
1275536492,44601
1477556686,44601
1194728360,32164
1154324317,14642
1457354698,32960
1447253687,75062
1972506160,80112
1184627358,14534
1447253604,74136
1962405126,32935
1942203104,47882
1376546523,10532
1184627333,17011
1629071873,30517
1518960640,38012
1245233378,81401
1518960756,74136
1366445405,74012
1356344493,33313
1265435309,06606
1972506012,30582
1225031362,94591
1306849435,19348
1033112164,28376
1679576706,92203
1821091950,14642
1851394969,30458
1679576789,46176
1841293958,30501
1578566683,75801
1730182841,41701
1154324267,46176
1578566675,46514
1356344477,30005
1205839388,85128
1114920295,64114
1104829282,65203
1639172711,37642
1720081896,
1528061637,03060
1982607099,24210
1699778795,41701
1124021225,88011
1467455568,65340
1902809007,89052
1720081821,37055
1275536377,43130
1396748489,05732
1932103264,33614
1629071709,75801
1063415149,77833
1972506053,80910
1346243417,20036
1063415131,37055
1780687855,39520
