zipcode,county,state_abbr,fips
35004,St. Clair,AL,01115
35005,Jefferson,AL,01073
35006,Jefferson,AL,01073
35007,Shelby,AL,01117
35010,Tallapoosa,AL,01123
35014,Talladega,AL,01121
35016,Marshall,AL,01095
35019,Cullman,AL,01043
35020,Jefferson,AL,01073
35022,Jefferson,AL,01073
35023,Jefferson,AL,01073
35031,Blount,AL,01009
35033,Cullman,AL,01043
35034,Bibb,AL,01007
35035,Bibb,AL,01007
35036,Jefferson,AL,01073
35040,Shelby,AL,01117
35042,Bibb,AL,01007
35043,Shelby,AL,01117
35044,Talladega,AL,01121
35045,Chilton,AL,01021
35046,Chilton,AL,01021
35049,Blount,AL,01009
35051,Shelby,AL,01117
35052,St. Clair,AL,01115
35053,Cullman,AL,01043
35054,St. Clair,AL,01115
35055,Cullman,AL,01043
35057,Cullman,AL,01043
35058,Cullman,AL,01043
35060,Jefferson,AL,01073
35061,Jefferson,AL,01073
35062,Jefferson,AL,01073
35063,Walker,AL,01127
35064,Jefferson,AL,01073
35068,Jefferson,AL,01073
35070,Cullman,AL,01043
35071,Jefferson,AL,01073
35072,Coosa,AL,01037
35073,Jefferson,AL,01073
35074,Bibb,AL,01007
35077,Cullman,AL,01043
35078,Shelby,AL,01117
35079,Blount,AL,01009
35080,Shelby,AL,01117
35082,Clay,AL,01027
35083,Cullman,AL,01043
35085,Chilton,AL,01021
35087,Cullman,AL,01043
35089,Coosa,AL,01037
35091,Jefferson,AL,01073
35094,Jefferson,AL,01073
35096,Talladega,AL,01121
35097,Blount,AL,01009
35098,Cullman,AL,01043
350HH,Chilton,AL,01021
350XX,Coosa,AL,01037
35111,Tuscaloosa,AL,01125
35112,St. Clair,AL,01115
35114,Shelby,AL,01117
35115,Shelby,AL,01117
35116,Jefferson,AL,01073
35117,Jefferson,AL,01073
35118,Jefferson,AL,01073
35119,Jefferson,AL,01073
35120,St. Clair,AL,01115
35121,Blount,AL,01009
35124,Shelby,AL,01117
35125,St. Clair,AL,01115
35126,Jefferson,AL,01073
35127,Jefferson,AL,01073
35128,St. Clair,AL,01115
35130,Walker,AL,01127
35131,St. Clair,AL,01115
35133,Blount,AL,01009
35135,St. Clair,AL,01115
35136,Coosa,AL,01037
35139,Jefferson,AL,01073
35143,Shelby,AL,01117
35146,St. Clair,AL,01115
35147,Shelby,AL,01117
35148,Walker,AL,01127
35149,Talladega,AL,01121
35150,Talladega,AL,01121
35151,Talladega,AL,01121
35160,Talladega,AL,01121
35171,Chilton,AL,01021
35172,Blount,AL,01009
35173,Jefferson,AL,01073
35175,Marshall,AL,01095
35176,Shelby,AL,01117
35178,Shelby,AL,01117
35179,Cullman,AL,01043
35180,Jefferson,AL,01073
35183,Coosa,AL,01037
35184,Bibb,AL,01007
35186,Shelby,AL,01117
35188,Bibb,AL,01007
351HH,Blount,AL,01009
351XX,Coosa,AL,01037
35203,Jefferson,AL,01073
35204,Jefferson,AL,01073
35205,Jefferson,AL,01073
35206,Jefferson,AL,01073
35207,Jefferson,AL,01073
35208,Jefferson,AL,01073
35209,Jefferson,AL,01073
35210,Jefferson,AL,01073
35211,Jefferson,AL,01073
35212,Jefferson,AL,01073
35213,Jefferson,AL,01073
35214,Jefferson,AL,01073
35215,Jefferson,AL,01073
35216,Jefferson,AL,01073
35217,Jefferson,AL,01073
35218,Jefferson,AL,01073
35221,Jefferson,AL,01073
35222,Jefferson,AL,01073
35223,Jefferson,AL,01073
35224,Jefferson,AL,01073
35226,Jefferson,AL,01073
35228,Jefferson,AL,01073
35233,Jefferson,AL,01073
35234,Jefferson,AL,01073
35235,Jefferson,AL,01073
35242,Shelby,AL,01117
35243,Jefferson,AL,01073
35244,Jefferson,AL,01073
352HH,Jefferson,AL,01073
35401,Tuscaloosa,AL,01125
35403,Tuscaloosa,AL,01125
35404,Tuscaloosa,AL,01125
35405,Tuscaloosa,AL,01125
35406,Tuscaloosa,AL,01125
35441,Hale,AL,01065
35442,Pickens,AL,01107
35443,Greene,AL,01063
35444,Tuscaloosa,AL,01125
35446,Tuscaloosa,AL,01125
35447,Pickens,AL,01107
35452,Tuscaloosa,AL,01125
35453,Tuscaloosa,AL,01125
35456,Tuscaloosa,AL,01125
35457,Tuscaloosa,AL,01125
35458,Tuscaloosa,AL,01125
35459,Sumter,AL,01119
35460,Sumter,AL,01119
35461,Pickens,AL,01107
35462,Greene,AL,01063
35463,Tuscaloosa,AL,01125
35464,Sumter,AL,01119
35466,Pickens,AL,01107
35469,Greene,AL,01063
35470,Sumter,AL,01119
35471,Pickens,AL,01107
35473,Tuscaloosa,AL,01125
35474,Hale,AL,01065
35475,Tuscaloosa,AL,01125
35476,Tuscaloosa,AL,01125
35477,Sumter,AL,01119
35480,Tuscaloosa,AL,01125
35481,Pickens,AL,01107
35490,Tuscaloosa,AL,01125
354HH,Greene,AL,01063
354XX,Sumter,AL,01119
35501,Walker,AL,01127
35503,Walker,AL,01127
35504,Walker,AL,01127
35540,Winston,AL,01133
35541,Winston,AL,01133
35542,Fayette,AL,01057
35543,Marion,AL,01093
35544,Lamar,AL,01075
35545,Fayette,AL,01057
35546,Fayette,AL,01057
35548,Marion,AL,01093
35549,Walker,AL,01127
35550,Walker,AL,01127
35552,Lamar,AL,01075
35553,Winston,AL,01133
35554,Fayette,AL,01057
35555,Fayette,AL,01057
35559,Fayette,AL,01057
35563,Marion,AL,01093
35564,Marion,AL,01093
35565,Winston,AL,01133
35570,Marion,AL,01093
35571,Franklin,AL,01059
35572,Winston,AL,01133
35574,Lamar,AL,01075
35575,Winston,AL,01133
35576,Lamar,AL,01075
35578,Walker,AL,01127
35579,Walker,AL,01127
35580,Walker,AL,01127
35581,Franklin,AL,01059
35582,Franklin,AL,01059
35584,Walker,AL,01127
35585,Franklin,AL,01059
35586,Lamar,AL,01075
35587,Walker,AL,01127
35592,Lamar,AL,01075
35593,Franklin,AL,01059
35594,Marion,AL,01093
355HH,Franklin,AL,01059
355XX,Lawrence,AL,01079
35601,Morgan,AL,01103
35603,Morgan,AL,01103
35610,Lauderdale,AL,01077
35611,Limestone,AL,01083
35613,Limestone,AL,01083
35614,Limestone,AL,01083
35616,Colbert,AL,01033
35618,Lawrence,AL,01079
35619,Morgan,AL,01103
35620,Limestone,AL,01083
35621,Morgan,AL,01103
35622,Morgan,AL,01103
35630,Lauderdale,AL,01077
35633,Lauderdale,AL,01077
35634,Lauderdale,AL,01077
35640,Morgan,AL,01103
35643,Lawrence,AL,01079
35645,Lauderdale,AL,01077
35646,Colbert,AL,01033
35647,Limestone,AL,01083
35648,Lauderdale,AL,01077
35649,Limestone,AL,01083
35650,Lawrence,AL,01079
35651,Lawrence,AL,01079
35652,Lauderdale,AL,01077
35653,Franklin,AL,01059
35654,Franklin,AL,01059
35660,Colbert,AL,01033
35661,Colbert,AL,01033
35670,Morgan,AL,01103
35671,Limestone,AL,01083
35672,Lawrence,AL,01079
35673,Lawrence,AL,01079
35674,Colbert,AL,01033
35677,Lauderdale,AL,01077
356HH,Colbert,AL,01033
356XX,Lawrence,AL,01079
35739,Limestone,AL,01083
35740,Jackson,AL,01071
35741,Madison,AL,01089
35742,Limestone,AL,01083
35744,Jackson,AL,01071
35745,Jackson,AL,01071
35746,Jackson,AL,01071
35747,Marshall,AL,01095
35748,Madison,AL,01089
35749,Madison,AL,01089
35750,Madison,AL,01089
35751,Jackson,AL,01071
35752,Jackson,AL,01071
35754,Morgan,AL,01103
35755,Marshall,AL,01095
35756,Limestone,AL,01083
35757,Madison,AL,01089
35758,Madison,AL,01089
35759,Madison,AL,01089
35760,Madison,AL,01089
35761,Madison,AL,01089
35763,Madison,AL,01089
35764,Jackson,AL,01071
35765,Jackson,AL,01071
35766,Jackson,AL,01071
35768,Jackson,AL,01071
35769,Jackson,AL,01071
35771,Jackson,AL,01071
35772,Jackson,AL,01071
35773,Madison,AL,01089
35774,Jackson,AL,01071
35775,Morgan,AL,01103
35776,Jackson,AL,01071
357HH,Jackson,AL,01071
357XX,Madison,AL,01089
35801,Madison,AL,01089
35802,Madison,AL,01089
35803,Madison,AL,01089
35805,Madison,AL,01089
35806,Madison,AL,01089
35808,Madison,AL,01089
35810,Madison,AL,01089
35811,Madison,AL,01089
35816,Madison,AL,01089
35824,Madison,AL,01089
358HH,Madison,AL,01089
358XX,Madison,AL,01089
35901,Etowah,AL,01055
35903,Etowah,AL,01055
35904,Etowah,AL,01055
35905,Etowah,AL,01055
35906,Etowah,AL,01055
35907,Etowah,AL,01055
35950,Marshall,AL,01095
35951,Marshall,AL,01095
35952,Etowah,AL,01055
35953,St. Clair,AL,01115
35954,Etowah,AL,01055
35956,Etowah,AL,01055
