fips,county,state_abbr,total_prescribers,total_claims,total_cost,total_patients,state_name,county_name,diabetes_pct,obesity_pct,median_income,total_pop,pct_black,pct_hispanic,pct_asian,svi_overall,svi_poverty,svi_minority,pct_uninsured,glp1_per_1000,obesity_z,diabetes_z,demand_z,glp1_z,gap_score
01063,Greene,AL,2,189,249814.56999999998,22.0,Alabama,Greene,27.1,52.7,29200.0,7424.0,81.28,0.13,0.04,0.9157,0.9211,0.9857,13.9,2.96,3.2144979283530115,4.944357096173034,4.079427512263023,-0.7535797503831321,4.833
01011,Bullock,AL,2,313,450761.99,41.0,Alabama,Bullock,24.6,51.3,31310.0,10058.0,69.46,5.99,0.42,0.8985,0.8654,0.9809,12.2,4.08,2.9192485420912537,4.028218087872823,3.473733314982038,-0.5846455211980468,4.058
28053,Humphreys,MS,4,401,407486.55000000005,43.0,Mississippi,Humphreys,24.7,52.4,33731.0,7395.0,78.16,0.42,0.19,0.9787,0.9997,0.9815,15.5,5.81,3.1512302027254915,4.06486364820483,3.608046925465161,-0.3237024707603705,3.932
01105,Perry,AL,7,674,734635.41,73.0,Alabama,Perry,24.6,52.9,37654.0,8031.0,71.22,0.21,0.06,0.9214,0.9456,0.9653,6.6,9.09,3.2566764121046905,4.028218087872823,3.6424472499887566,0.17103348613880784,3.471
46121,Todd,SD,5,144,150487.64,24.0,South Dakota,Todd,20.7,49.3,42075.0,9244.0,0.44,2.42,3.1,0.9475,0.9605,0.9971,27.6,2.6,2.497463704574458,2.5990412349244925,2.5482524697494755,-0.8078800383354809,3.356
28065,Jefferson Davis,MS,6,389,445586.15,18.0,Mississippi,Jefferson Davis,21.8,45.4,38548.0,11117.0,59.49,0.72,0.03,0.8743,0.9749,0.9332,12.7,1.62,1.6749832714167068,3.0021423985765856,2.338562834996646,-0.9556974888724304,3.294
28163,Yazoo,MS,9,600,666258.26,69.0,Mississippi,Yazoo,18.5,50.5,39295.0,24835.0,57.53,5.38,0.06,0.9975,0.9968,0.945,13.7,2.78,2.750534607084536,1.7928389076203066,2.2716867573524215,-0.7807298943593066,3.052
28025,Clay,MS,5,429,535127.11,33.0,Mississippi,Clay,19.1,47.6,43125.0,18383.0,60.15,0.2,0.11,0.7913,0.9825,0.93,11.5,1.8,2.1389465926851825,2.012712269612358,2.07582943114877,-0.9285473448962561,3.004
28051,Holmes,MS,12,1239,1299020.42,151.0,Mississippi,Holmes,23.3,50.7,32538.0,16191.0,81.01,0.4,0.28,0.992,0.994,0.9879,12.1,9.33,2.792713090836216,3.5518258035567127,3.1722694471964643,0.20723367810704044,2.965
45089,Williamsburg,SC,9,805,974787.97,68.0,South Carolina,Williamsburg,20.4,45.0,46213.0,30282.0,63.35,2.5,0.79,0.9634,0.901,0.9548,11.3,2.25,1.590626303913348,2.489104553928467,2.0398654289209075,-0.8606719849558201,2.901
38079,Rolette,ND,9,528,541317.9,39.0,North Dakota,Rolette,17.9,50.2,59517.0,11924.0,0.14,1.27,0.52,0.8934,0.8358,0.985,26.4,3.27,2.6872668814570173,1.5729655456282554,2.130116213542636,-0.7068211690908317,2.837
